Country,Government,Household,Foreign Aid
Angola,0.75,0.00,0.000003
Botswana,2.45,0.00,0
Burkina Faso,2.81,0.59,0.000057
Cameroon,1.10,0.63,0.000005
CAR,0.66,0.00,0.000007
Cote d'Ivoire,1.72,0.72,0.000003
Ethiopia,1.34,0.00,0.000024
Gambia,1.40,1.20,0.000024
Ghana,2.29,0.00,0.000035
Guinea,1.22,0.00,0.000033
Guinea-Bissau,1.12,1.12,0.000066
Kenya,3.82,0.00,0.000011
Lesotho,5.83,0.00,0.000021
Madagascar,1.57,0.86,0.000016
Malawi,2.50,0.53,0.000073
Mali,1.51,0.43,0.00006
Mauritania,1.43,0.33,0.000022
Mauritius,1.05,0.00,0.000001
Mozambique,2.94,0.00,0.000043
Niger,2.53,0.15,0.000032
Nigeria,0.00,0.00,0.000002
Rwanda,1.75,0.60,0.000031
Senegal,2.08,0.09,0.000024
Sierra Leone,1.31,0.59,0.000021
South Africa,2.28,0.00,0.000001
Swaziland,2.58,0.00,0.000008
Uganda,1.73,0.00,0.00003
Tanzania,2.07,0.29,0.000033
Zambia,1.20,0.00,0.000039
