Country,Government,Household,Foreign Aid,N,gini
Rwanda,1.37,2.67,0.184535,4.224535,50.3
Botswana,3.76,0,0.028436,3.788436,52.0
Lesotho,2.77,0,0.215372,2.985372,31.4
Cameroon,1.51,1.35,0.023406,2.883406,30.9
Cote d'Ivoire,1.49,1.23,0.023397,2.743397,35.2
Guinea-Bissau,0.93,1.68,0.125337,2.735337,24.2
Ghana,2.35,0,0.072325,2.422325,28.0
Sierra Leone,0.66,1.56,0.10372,2.32372,44.1
Mali,1.84,0.29,0.117112,2.247112,38.2
Gambia,0.61,1.42,0.21279,2.24279,26.9
Mozambique,1.95,0.17,0.110878,2.230878,33.8
Swaziland,2.22,0,0.007615,2.227615,48.5
Malawi,1.23,0.44,0.286336,1.956336,44.9
Ethiopia,1.88,0,0.05736,1.93736,30.0
Mauritius,1.81,0,0.011928,1.821928,37.5
South Africa,1.75,0,0.004032,1.754032,61.5
Niger,1.11,0.34,0.093209,1.543209,37.2
Senegal,1.28,0,0.128475,1.408475,40.5
Kenya,1.28,0,0.028493,1.308493,31.6
Burkina Faso,0.76,0.41,0.087427,1.257427,38.5
Tanzania,0.59,0.47,0.112723,1.172723,33.7
Mauritania,0.78,0.19,0.11071,1.08071,32.2
Angola,1.07,0,0.006729,1.076729,43.9
Madagascar,0.6,0.26,0.044732,0.904732,38.9
Uganda,0.69,0,0.109632,0.799632,39.1
Guinea,0.72,0,0.058007,0.778007,30.1
Zambia,0.35,0,0.046313,0.396313,48.0
CAR,0.34,0,0.041933,0.381933,41.5
Nigeria,0,0,0.008813,0.008813,42.0
