Country,Government,Household,Foreign Aid,N
Lesotho,5.83,0,0.000021,5.830021
Kenya,3.82,0,0.000011,3.820011
Burkina Faso,2.81,0.59,0.000057,3.400057
Malawi,2.5,0.53,0.000073,3.030073
Mozambique,2.94,0,0.000043,2.940043
Niger,2.53,0.15,0.000032,2.680032
Gambia,1.4,1.2,0.000024,2.600024
Swaziland,2.58,0,0.000008,2.580008
Botswana,2.45,0,0,2.45
Cote d'Ivoire,1.72,0.72,0.000003,2.440003
Madagascar,1.57,0.86,0.000016,2.430016
Tanzania,2.07,0.29,0.000033,2.360033
Rwanda,1.75,0.6,0.000031,2.350031
Ghana,2.29,0,0.000035,2.290035
South Africa,2.28,0,0.000001,2.280001
Guinea-Bissau,1.12,1.12,0.000066,2.240066
Senegal,2.08,0.09,0.000024,2.170024
Mali,1.51,0.43,0.00006,1.94006
Sierra Leone,1.31,0.59,0.000021,1.900021
Mauritania,1.43,0.33,0.000022,1.760022
Uganda,1.73,0,0.00003,1.73003
Cameroon,1.1,0.63,0.000005,1.730005
Ethiopia,1.34,0,0.000024,1.340024
Guinea,1.22,0,0.000033,1.220033
Zambia,1.2,0,0.000039,1.200039
Mauritius,1.05,0,0.000001,1.050001
Angola,0.75,0,0.000003,0.750003
CAR,0.66,0,0.000007,0.660007
Nigeria,0,0,0.000002,0.000002
